human_label	mouse_label	count
neuron	glutamatergic neuron	51
neuron	GABAergic neuron	28
midbrain-derived inhibitory neuron	GABAergic neuron	12
L5/6 near-projecting glutamatergic neuron	near-projecting glutamatergic cortical neuron	11
cell	L2/3 intratelencephalic projecting glutamatergic neuron	10
hippocampal CA4 neuron	hippocampal CA1-3 neuron	9
eccentric medium spiny neuron	medium spiny neuron	8
amygdala excitatory neuron	L2/3 intratelencephalic projecting glutamatergic neuron	8
dentate gyrus granule cell	dentate gyrus of hippocampal formation granule cell	7
molecular layer interneuron	cerebellar neuron	6
eccentric medium spiny neuron	D1/D2-hybrid medium spiny neuron	5
Lamp5 Lhx6 neuron	lamp5 GABAergic cortical interneuron	4
sst GABAergic cortical interneuron	pvalb GABAergic cortical interneuron	4
cerebral cortex neuron	L6 corticothalamic-projecting glutamatergic cortical neuron	4
L2/3 intratelencephalic projecting glutamatergic neuron	L4/5 intratelencephalic projecting glutamatergic neuron	3
chandelier cell	chandelier pvalb GABAergic cortical interneuron	3
vip GABAergic cortical interneuron	sncg GABAergic cortical interneuron	3
intratelencephalic-projecting glutamatergic cortical neuron	L4/5 intratelencephalic projecting glutamatergic neuron	3
intratelencephalic-projecting glutamatergic cortical neuron	L6 intratelencephalic projecting glutamatergic neuron	3
L6 intratelencephalic projecting Car3 glutamatergic neuron	glutamatergic neuron	3
L5 intratelencephalic projecting glutamatergic neuron	L4/5 intratelencephalic projecting glutamatergic neuron	2
neuron	medial ganglionic eminence derived GABAergic cortical interneuron	2
L4 intratelencephalic projecting glutamatergic neuron	L4/5 intratelencephalic projecting glutamatergic neuron	2
medium spiny neuron	direct pathway medium spiny neuron	2
cerebral cortex neuron	L6b glutamatergic cortical neuron	2
cerebral cortex neuron	near-projecting glutamatergic cortical neuron	2
sncg GABAergic cortical interneuron	lamp5 GABAergic cortical interneuron	2
sst chodl GABAergic cortical interneuron	sst GABAergic cortical interneuron	2
neuron	olfactory granule cell	2
monocyte	dendritic cell	1
natural killer cell	lymphocyte	1
neuron	Cajal-Retzius cell	1
B cell	lymphocyte	1
neuron	cerebellar granule cell	1
neuron	cerebellum glutamatergic neuron	1
neuron	cholinergic neuron	1
neuron	midbrain dopaminergic neuron	1
neuron	pinealocyte	1
thalamic excitatory neuron	glutamatergic neuron	1
vip GABAergic cortical interneuron	caudal ganglionic eminence derived interneuron	1
neuron	choroid plexus epithelial cell	1
hippocampal CA1-3 neuron	amygdala excitatory neuron	1
medium spiny neuron	GABAergic neuron	1
cell	olfactory granule cell	1
L5 extratelencephalic projecting glutamatergic cortical neuron	glutamatergic neuron	1
L6b glutamatergic cortical neuron	L6 corticothalamic-projecting glutamatergic cortical neuron	1
PAX6 GABAergic cortical interneuron	lamp5 GABAergic cortical interneuron	1
T cell	lymphocyte	1
amygdala excitatory neuron	intratelencephalic-projecting glutamatergic cortical neuron	1
amygdala excitatory neuron	oligodendrocyte precursor cell	1
caudal ganglionic eminence derived GABAergic cortical interneuron	lamp5 GABAergic cortical interneuron	1
cell	L4/5 intratelencephalic projecting glutamatergic neuron	1
cell	L5 extratelencephalic projecting glutamatergic cortical neuron	1
cerebellar granule cell	cerebellar Golgi cell	1
lamp5 GABAergic cortical interneuron	GABAergic neuron	1
cerebellar inhibitory GABAergic interneuron	cerebellar neuron	1
direct pathway medium spiny neuron	GABAergic neuron	1
direct pathway medium spiny neuron	Island of Calleja granule cell	1
eccentric medium spiny neuron	GABAergic neuron	1
hippocampal CA1-3 neuron	L2/3 intratelencephalic projecting glutamatergic neuron	1
hippocampal CA1-3 neuron	cerebellar inhibitory GABAergic interneuron	1
hippocampal CA1-3 neuron	glutamatergic neuron	1
hippocampal CA1-3 neuron	oligodendrocyte	1
intratelencephalic-projecting glutamatergic cortical neuron	L5 intratelencephalic projecting glutamatergic neuron	1
von Economo neuron	L5 extratelencephalic projecting glutamatergic cortical neuron	1
